,index,subid,lure_or_no,is_high_arm,accuracy,dprime_lt_high,dprime_lt_low,dprime_lbst_high,dprime_lbst_low
4,544,A36GU3OHGLDS8R,target,False,0.25,1.8248391305720895,0.0,0.18292781427430682,-0.6744897501960817
5,545,A36GU3OHGLDS8R,target,True,0.875,1.8248391305720895,0.0,0.18292781427430682,-0.6744897501960817
0,546,A36NTNEXBNBIOD,lure,False,0.875,3.0682410887050926,2.3006987607520157,1.1033932450570885,1.1503493803760079
1,547,A36NTNEXBNBIOD,lure,True,0.9375,3.0682410887050926,2.3006987607520157,1.1033932450570885,1.1503493803760079
2,548,A36NTNEXBNBIOD,lure_but_seen,False,0.5,3.0682410887050926,2.3006987607520157,1.1033932450570885,1.1503493803760079
3,549,A36NTNEXBNBIOD,lure_but_seen,True,0.3333333333333333,3.0682410887050926,2.3006987607520157,1.1033932450570885,1.1503493803760079
4,550,A36NTNEXBNBIOD,target,False,0.875,3.0682410887050926,2.3006987607520157,1.1033932450570885,1.1503493803760079
5,551,A36NTNEXBNBIOD,target,True,0.9375,3.0682410887050926,2.3006987607520157,1.1033932450570885,1.1503493803760079
0,552,A36P1ZQ0GYF567,lure,False,0.9375,0.9931291141604568,2.208610294548628,1.1052170494915392,1.6419113162977828
1,553,A36P1ZQ0GYF567,lure,True,0.625,0.9931291141604568,2.208610294548628,1.1052170494915392,1.6419113162977828
2,554,A36P1ZQ0GYF567,lure_but_seen,False,0.8333333333333334,0.9931291141604568,2.208610294548628,1.1052170494915392,1.6419113162977828
3,555,A36P1ZQ0GYF567,lure_but_seen,True,0.6666666666666666,0.9931291141604568,2.208610294548628,1.1052170494915392,1.6419113162977828
4,556,A36P1ZQ0GYF567,target,False,0.75,0.9931291141604568,2.208610294548628,1.1052170494915392,1.6419113162977828
5,557,A36P1ZQ0GYF567,target,True,0.75,0.9931291141604568,2.208610294548628,1.1052170494915392,1.6419113162977828
0,558,A36T7N6CT9GUCG,lure,False,0.375,0.47585963017992616,1.215481180388171,1.1503493803760079,1.9648478436480037
1,559,A36T7N6CT9GUCG,lure,True,0.25,0.47585963017992616,1.215481180388171,1.1503493803760079,1.9648478436480037
2,560,A36T7N6CT9GUCG,lure_but_seen,False,0.6666666666666666,0.47585963017992616,1.215481180388171,1.1503493803760079,1.9648478436480037
3,561,A36T7N6CT9GUCG,lure_but_seen,True,0.5,0.47585963017992616,1.215481180388171,1.1503493803760079,1.9648478436480037
4,562,A36T7N6CT9GUCG,target,False,0.9375,0.47585963017992616,1.215481180388171,1.1503493803760079,1.9648478436480037
5,563,A36T7N6CT9GUCG,target,True,0.875,0.47585963017992616,1.215481180388171,1.1503493803760079,1.9648478436480037
0,564,A37PUSY6CJ7TQ0,lure,False,0.375,0.6744897501960817,0.35585038623170656,0.967421566101701,1.1052170494915392
1,565,A37PUSY6CJ7TQ0,lure,True,0.75,0.6744897501960817,0.35585038623170656,0.967421566101701,1.1052170494915392
2,566,A37PUSY6CJ7TQ0,lure_but_seen,False,0.6666666666666666,0.6744897501960817,0.35585038623170656,0.967421566101701,1.1052170494915392
3,567,A37PUSY6CJ7TQ0,lure_but_seen,True,0.8333333333333334,0.6744897501960817,0.35585038623170656,0.967421566101701,1.1052170494915392
4,568,A37PUSY6CJ7TQ0,target,False,0.75,0.6744897501960817,0.35585038623170656,0.967421566101701,1.1052170494915392
5,569,A37PUSY6CJ7TQ0,target,True,0.5,0.6744897501960817,0.35585038623170656,0.967421566101701,1.1052170494915392
0,570,A38GFVEBNQNSUJ,lure,False,0.875,2.684469924728554,0.8317100164116327,0.18292781427430682,0.1120879353310823
1,571,A38GFVEBNQNSUJ,lure,True,0.9375,2.684469924728554,0.8317100164116327,0.18292781427430682,0.1120879353310823
2,572,A38GFVEBNQNSUJ,lure_but_seen,False,0.6666666666666666,2.684469924728554,0.8317100164116327,0.18292781427430682,0.1120879353310823
3,573,A38GFVEBNQNSUJ,lure_but_seen,True,0.16666666666666666,2.684469924728554,0.8317100164116327,0.18292781427430682,0.1120879353310823
4,574,A38GFVEBNQNSUJ,target,False,0.375,2.684469924728554,0.8317100164116327,0.18292781427430682,0.1120879353310823
5,575,A38GFVEBNQNSUJ,target,True,0.875,2.684469924728554,0.8317100164116327,0.18292781427430682,0.1120879353310823
0,576,A38I0E8UK53ME5,lure,False,0.875,1.8248391305720895,2.684469924728554,1.1503493803760079,1.5341205443525463
1,577,A38I0E8UK53ME5,lure,True,0.75,1.8248391305720895,2.684469924728554,1.1503493803760079,1.5341205443525463
2,578,A38I0E8UK53ME5,lure_but_seen,False,0.5,1.8248391305720895,2.684469924728554,1.1503493803760079,1.5341205443525463
3,579,A38I0E8UK53ME5,lure_but_seen,True,0.5,1.8248391305720895,2.684469924728554,1.1503493803760079,1.5341205443525463
4,580,A38I0E8UK53ME5,target,False,0.9375,1.8248391305720895,2.684469924728554,1.1503493803760079,1.5341205443525463
5,581,A38I0E8UK53ME5,target,True,0.875,1.8248391305720895,2.684469924728554,1.1503493803760079,1.5341205443525463
0,582,A39C22RIL0YJ4D,lure,False,0.9375,0.47585963017992616,3.0682410887050926,1.5810766796714653,1.5341205443525463
1,583,A39C22RIL0YJ4D,lure,True,0.25,0.47585963017992616,3.0682410887050926,1.5810766796714653,1.5341205443525463
2,584,A39C22RIL0YJ4D,lure_but_seen,False,0.5,0.47585963017992616,3.0682410887050926,1.5810766796714653,1.5341205443525463
3,585,A39C22RIL0YJ4D,lure_but_seen,True,0.6666666666666666,0.47585963017992616,3.0682410887050926,1.5810766796714653,1.5341205443525463
4,586,A39C22RIL0YJ4D,target,False,0.9375,0.47585963017992616,3.0682410887050926,1.5810766796714653,1.5341205443525463
5,587,A39C22RIL0YJ4D,target,True,0.875,0.47585963017992616,3.0682410887050926,1.5810766796714653,1.5341205443525463
0,588,A39CG6GXC2ZJXB,lure,False,0.625,0.8317100164116327,1.8527599083169215,2.533343507476646,2.5015421104542472
