,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num,high or low arm
17902,1,object_01,object_08,497.2550001,2,2,472.22,0.5555555555555556,2,object_04,5,3428,0,5,5,desert_19,2,memory-2step-stake-s,726,3582071,0.0-18.0-0.1-0.238,3855,1,2,high
17903,4,object_02,object_10,482.325,7,1,677.015,0.7777777777777778,1,object_06,1,3435,0,7,1,restaurant_20,2,memory-2step-stake-s,727,3590699,0.0-18.0-0.1-0.239,3855,7,8,low
17904,2,object_07,object_09,283.195,3,2,-1.0,0.0,1,object_06,1,3435,0,9,1,forest_30,2,memory-2step-stake-s,728,3599230,0.0-18.0-0.1-0.240,3855,4,3,high
17905,3,object_03,object_05,241.21499989999998,5,1,438.7150001,0.7777777777777778,1,object_06,5,3470,0,7,1,library_24,2,memory-2step-stake-s,729,3607631,0.0-18.0-0.1-0.241,3855,5,6,low
17906,3,object_03,object_05,382.8500001,6,2,411.1,0.2222222222222222,2,object_04,1,3472,0,6,2,library_30,2,memory-2step-stake-s,730,3615479,0.0-18.0-0.1-0.242,3855,5,6,low
17907,4,object_10,object_02,632.4100001,7,2,486.6950001,0.7777777777777778,1,object_06,1,3479,0,7,2,restaurant_26,2,memory-2step-stake-s,731,3623911,0.0-18.0-0.1-0.243,3855,8,7,low
17908,3,object_05,object_03,651.235,6,1,-1.0,0.0,2,object_04,1,3479,0,5,0,library_24,2,memory-2step-stake-s,732,3632443,0.0-18.0-0.1-0.244,3855,6,5,low
17909,4,object_10,object_02,314.5999999,7,2,752.87,0.2222222222222222,1,object_06,1,3481,0,2,2,restaurant_20,2,memory-2step-stake-s,733,3640627,0.0-18.0-0.1-0.245,3855,8,7,low
17910,4,object_10,object_02,489.96,7,2,430.5049999,0.3333333333333333,1,object_06,1,3484,0,3,3,restaurant_25,2,memory-2step-stake-s,734,3648597,0.0-18.0-0.1-0.246,3855,8,7,low
17911,4,object_10,object_02,629.965,7,2,541.8799999,0.4444444444444444,1,object_06,1,3488,0,4,3,restaurant_22,2,memory-2step-stake-s,735,3656788,0.0-18.0-0.1-0.247,3855,8,7,low
17912,3,object_05,object_03,503.37,6,1,451.245,0.1111111111111111,2,object_04,1,3489,0,3,1,library_29,2,memory-2step-stake-s,736,3664572,0.0-18.0-0.1-0.248,3855,6,5,low
17913,3,object_03,object_05,334.0800001,6,2,374.235,0.1111111111111111,2,object_04,1,3490,0,4,1,library_25,2,memory-2step-stake-s,737,3672276,0.0-18.0-0.1-0.249,3855,5,6,low
17914,4,object_02,object_10,658.8450001,7,1,692.025,0.5555555555555556,1,object_06,1,3495,0,5,1,restaurant_31,2,memory-2step-stake-s,738,3680710,0.0-18.0-0.1-0.250,3855,7,8,low
17915,1,object_08,object_01,719.4899998999999,1,2,622.26,0.7777777777777778,1,object_06,5,3530,0,7,1,desert_3,2,memory-2step-stake-s,739,3689285,0.0-18.0-0.1-0.251,3855,2,1,high
17916,2,object_07,object_09,763.78,3,2,578.18,0.8888888888888888,1,object_06,5,3570,0,8,2,forest_21,2,memory-2step-stake-s,740,3697930,0.0-18.0-0.1-0.252,3855,4,3,high
17917,1,object_01,object_08,717.5949999,2,2,708.825,0.0,2,object_04,5,3570,0,7,0,desert_10,2,memory-2step-stake-s,741,3705860,0.0-18.0-0.1-0.253,3855,1,2,high
17918,2,object_09,object_07,396.91,3,1,392.84,0.7777777777777778,1,object_06,5,3605,0,7,2,forest_31,2,memory-2step-stake-s,742,3714205,0.0-18.0-0.1-0.254,3855,3,4,high
17919,1,object_01,object_08,332.97,2,2,408.2749999,0.1111111111111111,2,object_04,5,3610,0,7,1,desert_19,2,memory-2step-stake-s,743,3721943,0.0-18.0-0.1-0.255,3855,1,2,high
17920,4,object_05,object_10,-1.0,-1,-1,-1.0,0.0,-,,5,0,0,3,1,restaurant_2,1,memory-2step-stake-s,489,1012749,0.0-18.0-0.0-0.0,2905,7,8,high
17921,1,object_03,object_06,712.9449998,2,2,-1.0,0.0,2,object_02,1,0,0,4,3,desert_23,1,memory-2step-stake-s,490,1021290,0.0-18.0-0.0-0.1,2905,1,2,low
17922,3,object_07,object_04,1101.165,5,1,1020.635,0.0,1,object_09,5,0,0,0,1,library_12,1,memory-2step-stake-s,491,1029547,0.0-18.0-0.0-0.2,2905,5,6,high
17923,4,object_10,object_05,645.7099998,8,1,790.795,0.0,2,object_02,5,0,0,2,0,restaurant_2,1,memory-2step-stake-s,492,1037581,0.0-18.0-0.0-0.3,2905,8,7,high
17924,4,object_10,object_05,446.9999999,8,1,-1.0,0.0,2,object_02,5,0,0,1,3,restaurant_29,1,memory-2step-stake-s,493,1046115,0.0-18.0-0.0-0.4,2905,8,7,high
17925,3,object_07,object_04,505.475,6,2,549.4300001,0.2222222222222222,2,object_02,5,10,0,1,2,library_2,1,memory-2step-stake-s,494,1054106,0.0-18.0-0.0-0.5,2905,5,6,high
17926,4,object_10,object_05,668.3450001,8,1,525.3999999,0.2222222222222222,2,object_02,5,20,0,4,2,restaurant_32,1,memory-2step-stake-s,495,1062074,0.0-18.0-0.0-0.6,2905,8,7,high
17927,2,object_01,object_08,710.9400001,4,2,718.3900001000001,0.0,2,object_02,1,20,0,5,0,forest_32,1,memory-2step-stake-s,496,1070038,0.0-18.0-0.0-0.7,2905,3,4,low
17928,3,object_04,object_07,675.425,6,1,501.9050001,0.1111111111111111,2,object_02,5,25,0,9,1,library_2,1,memory-2step-stake-s,497,1077878,0.0-18.0-0.0-0.8,2905,6,5,high
17929,1,object_06,object_03,689.95,1,2,715.4300001,0.8888888888888888,1,object_09,1,33,0,8,1,desert_5,1,memory-2step-stake-s,498,1086642,0.0-18.0-0.0-0.9,2905,2,1,low
17930,3,object_04,object_07,708.6150001,5,2,417.33499989999996,0.8888888888888888,1,object_09,1,41,0,8,0,library_27,1,memory-2step-stake-s,499,1095119,0.0-18.0-0.0-0.10,2905,6,5,high
17931,3,object_07,object_04,633.7849997999999,6,2,399.58,0.0,2,object_02,1,41,0,6,0,library_15,1,memory-2step-stake-s,500,1102755,0.0-18.0-0.0-0.11,2905,5,6,high
17932,3,object_04,object_07,762.565,6,1,530.5550001,0.1111111111111111,2,object_02,5,46,0,6,1,library_7,1,memory-2step-stake-s,501,1110618,0.0-18.0-0.0-0.12,2905,6,5,high
17933,4,object_05,object_10,925.6150001,8,2,574.275,0.4444444444444444,2,object_02,5,66,0,9,4,restaurant_15,1,memory-2step-stake-s,502,1118827,0.0-18.0-0.0-0.13,2905,7,8,high
17934,3,object_07,object_04,879.0,5,1,681.6150001,0.6666666666666666,1,object_09,1,72,0,6,4,library_10,1,memory-2step-stake-s,503,1127343,0.0-18.0-0.0-0.14,2905,5,6,high
