,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
48,3,object_06,object_01,631.655,5,1,826.645,0.7777777777777778,1,object_03,5,662,0,7,9,library_30,1,memory-2step-stake-s,536,1369146,0.0-18.0-0.0-0.48,1846,5,6
49,2,object_07,object_10,830.9,3,1,581.725,0.3333333333333333,1,object_03,1,665,0,3,8,forest_21,1,memory-2step-stake-s,537,1377267,0.0-18.0-0.0-0.49,1846,3,4
50,2,object_07,object_10,1247.13,4,2,-1.0,0.0,2,object_04,5,665,0,4,8,forest_30,1,memory-2step-stake-s,538,1385796,0.0-18.0-0.0-0.50,1846,3,4
51,3,object_06,object_01,781.92,6,2,529.44,0.6666666666666666,2,object_04,5,695,0,2,6,library_20,1,memory-2step-stake-s,539,1394185,0.0-18.0-0.0-0.51,1846,5,6
52,1,object_05,object_02,834.635,1,1,608.675,0.0,1,object_03,1,695,0,0,7,desert_26,1,memory-2step-stake-s,540,1402013,0.0-18.0-0.0-0.52,1846,1,2
53,3,object_01,object_06,603.825,5,2,639.025,0.2222222222222222,1,object_03,5,705,0,2,5,library_20,1,memory-2step-stake-s,541,1410101,0.0-18.0-0.0-0.53,1846,6,5
54,4,object_09,object_08,683.105,7,2,590.05,0.1111111111111111,1,object_03,5,710,0,1,6,restaurant_27,1,memory-2step-stake-s,542,1418033,0.0-18.0-0.0-0.54,1846,8,7
55,3,object_01,object_06,868.92,5,2,682.865,0.3333333333333333,1,object_03,5,725,0,3,5,library_29,1,memory-2step-stake-s,543,1426252,0.0-18.0-0.0-0.55,1846,6,5
56,4,object_09,object_08,522.895,7,2,967.33,0.5555555555555556,1,object_03,1,730,0,5,5,restaurant_28,1,memory-2step-stake-s,544,1434961,0.0-18.0-0.0-0.56,1846,8,7
57,1,object_05,object_02,1013.92,1,1,893.6,0.5555555555555556,1,object_03,1,735,0,5,6,desert_32,1,memory-2step-stake-s,545,1443591,0.0-18.0-0.0-0.57,1846,1,2
58,4,object_08,object_09,787.55,8,2,839.03,0.5555555555555556,2,object_04,5,760,0,6,5,restaurant_30,1,memory-2step-stake-s,546,1452162,0.0-18.0-0.0-0.58,1846,7,8
59,2,object_07,object_10,1079.06,4,2,638.09,0.3333333333333333,2,object_04,1,763,0,5,3,forest_5,1,memory-2step-stake-s,547,1460326,0.0-18.0-0.0-0.59,1846,3,4
60,4,object_09,object_08,848.47,8,1,419.665,0.4444444444444444,2,object_04,5,783,0,6,4,restaurant_30,1,memory-2step-stake-s,548,1468385,0.0-18.0-0.0-0.60,1846,8,7
61,4,object_09,object_08,966.51,7,2,642.525,0.8888888888888888,1,object_03,1,791,0,8,4,restaurant_1,1,memory-2step-stake-s,549,1477073,0.0-18.0-0.0-0.61,1846,8,7
62,1,object_02,object_05,1128.75,1,2,981.22,0.8888888888888888,1,object_03,1,799,0,8,4,desert_32,1,memory-2step-stake-s,550,1486125,0.0-18.0-0.0-0.62,1846,2,1
63,1,object_02,object_05,644.97,1,2,611.27,0.8888888888888888,1,object_03,1,807,0,8,1,desert_1,1,memory-2step-stake-s,551,1494791,0.0-18.0-0.0-0.63,1846,2,1
64,3,object_06,object_01,811.835,6,2,603.965,0.2222222222222222,2,object_04,1,809,0,7,2,library_4,1,memory-2step-stake-s,552,1502828,0.0-18.0-0.0-0.64,1846,5,6
65,3,object_01,object_06,726.795,5,2,946.295,0.5555555555555556,1,object_03,5,834,0,5,1,library_29,1,memory-2step-stake-s,553,1511519,0.0-18.0-0.0-0.65,1846,6,5
